gálnnas	gálnas	a
smarágda	smaragda	n
smaragda	smarágda	n
vuordda	vuorda	n
gielddaláhka	gieldaláhka	n
válgaláhka	válggaláhka	n
válggaláhka	válgaláhka	n
sámiláhka	sámeláhka	n
sámeláhka	sámiláhka	n
luondduláhka	luondoláhka	n
luondoláhka	luondduláhka	n
jápmasáhka	jábmasáhka	n
jábmasáhka	jápmasáhka	n
illusáhka	illosáhka	n
illosáhka	illusáhka	n
gielddapolitihkka	gieldapolitihkka	n
nissonapolitihkka	nissunapolitihkka	n
nissonpolitihkka	nissunpolitihkka	n
davviguovlopolitihkka	davveguovlopolitihkka	n
biraspolitihkka	biráspolitihkka	n
bálkápolitihkka	bálkkápolitihkka	n
anuráhkka	anoráhkka	n
anoráhkka	anuráhkka	n
gasska	gaska	n
jiesska	jieska	n
gaska	gasska	n
jieska	jiesska	n
máska	másska	n
másska	máska	n
duvkka	duvka	n
lávkka	lávka	n
vielggatvuohta	vielgatvuohta	n
lasseruhta	lassiruhta	n
lekturáhta	lektoráhta	n
lektoráhta	lekturáhta	n
filta	fillta	n
goartta	goarta	n
soartta	soarta	n
nuortta	nuorta	n
fártta	fárta	n
gártta	gárta	n
kártta	kárta	n
skártta	skárta	n
kvártta	kvárta	n
bassta	basta	n
lassta	lasta	n
massta	masta	n
poassta	poasta	n
lissta	lista	n
goanssta	goansta	n
koanssta	koansta	n
guostta	guosta	n
ruossta	ruosta	n
basta	bassta	n
lasta	lassta	n
masta	massta	n
poasta	poassta	n
jiesta	jiessta	n
lista	lissta	n
goansta	goanssta	n
koansta	koanssta	n
ruosta	ruossta	n
rusta	russta	n
russta	rusta	n
gássta	gásta	n
atnuvuotta	adnovuotta	n
adnovuotta	atnuvuotta	n
goarta	goartta	n
soarta	soartta	n
nuorta	nuortta	n
árta	ártta	n
fárta	fártta	n
gárta	gártta	n
kárta	kártta	n
skárta	skártta	n
kvárta	kvártta	n
biesta	biestta	n
buvta	buvtta	n
guolgamátta	guolggamátta	n
