sálvi^a	sálvve^a
rišša#gabba	rissja#gabba
girje#gabba	girjje#gabba
batnin#nibba	badnen#nibba
gaiba	gajbba
liiba	lijbba
čalbme#liiba	tjalmme#lijbba
siiba	sijbba
snuiba	snujbba
galba	galbba
namma#galba	namma#galbba
oahpistan#galba	oahpestan#galbba
eret#vuodjin#galba	eret#vuodjen#galbba
geaidno#galba	giejnno#galbba
vuolit#galba	vuolet#galbba
silba	silbba
ealli#silba	ielle#silbba
rieban#silba	rieban#silbba
vilba	vilbba
duolba	duolbba
rimba	rimbba
gámba	gámbba
jámba	jámbba
virba	virbba
árba	árbba
skárba	skárbba
nuoraid#klubba	nuorajd#klubba
jápma#spábba	jábma#spábba
eana#spábba	iena#spábba
juolge#spábba	juolgge#spábba
áibme#spábba	ájmme#spábba
gore#spábba	gåre#spábba
čiekčan#spábba	tjiektjan#spábba
galkan#spábba	galkkan#spábba
eatnan#spábba	iednan#spábba
eanan#spábba	ienan#spábba
sátto#volley#spábba	sátto#vålley#spábba
guolbba	guolba
guossa#guolbba	guossa#guolba
daŋas#guolbba	daŋás#guolba
homofoba	håmufoba
konvearba	konvearba
soagŋo#gába	soaggŋo#gába
doaba	dåba
čoavdda#doaba	tjoavda#dåba
fága#doaba	fága#dåba
annu^itehta#doaba	anno^itehta#dåba
badje#doaba	badje#dåba
ađa	ada
čielge#ađa	tjielgge#ada
čađđa	tjadda
mađđa	madda
ovda#madda	åvddå#madda
nađđa	nadda
lišša#nađđa	lissja#nadda
biika#nađđa	bijkka#nadda
eana#nađđa	iena#nadda
niibe#nađđa	nijbbe#nadda
lieđđe#nađđa	liedde#nadda
eapme#nađđa	iebme#nadda
sáhppe#nađđa	sáhppe#nadda
rásse#nađđa	rásse#nadda
eanan#nađđa	ienan#nadda
nuppástun#nađđa	nuppástun#nadda
álgo#nađđa	álggo#nadda
ákšo#nađđa	áksjo#nadda
áibmo#nađđa	ájmmo#nadda
veivár#nađđa	vejvvár#nadda
hárát#nađđa	hárát#nadda
liššá#nađđa	lissjá#nadda
loađđa	loadda
snoađđa	snoadda
vađđa	vadda
siskkin#vađđa	sisken#vadda
šieđđa	sjiedda
šliedda	sliedda
giđđa	gidda
árra#giđđa	árra#gidda
maŋeš#giđđa	maŋesj#gidda
apart^heida	apárt^hejdda
nieida	niejdda
ruošša#nieida	ruossja#niejdda
badje#nieida	badje#niejdda
sáme#nieida	sáme#niejdda
vári#nieida	váre#niejdda
rivgo#nieida	rivggo#niejdda
biebmo#nieida	biebbmo#niejdda
gonagas#nieida	gånågas#niejdda
boares#nieida	boares#niejdda
ris#nieida	ris#niejdda
bás#nieida	bás#niejdda
sneaida	sniejdda
gádde#sneaida	gádde#sniejdda
diida	dijdda
hiida	hijdda
siida	sijdda
musea#siida	musea#sijdda
nuorta#siida	nuortta#sijdda
nuoraid#siida	nuorajd#sijdda
buohcciid#siida	buohttsijd#sijdda
buhcciid#siida	buhttsijd#sijdda
boarrásiid#siida	boarrásijd#sijdda
mánáid#siida	mánájd#sijdda
badje#siida	badje#sijdda
sáme#siida	sáme#sijdda
sámi#siida	sáme#sijdda
gieldda#sámi#siida	gielda#sáme#sijdda
davvi#sámi#siida	davve#sáme#sijdda
riddo#sáme#siida	riddo#sáme#sijdda
riddo#sámi#siida	riddo#sáme#sijdda
julevu#sámi#siida	julevu#sáme#sijdda
julev#sámi#siida	julev#sáme#sijdda
geasse#siida	giesse#sijdda
geassi#siida	giesse#sijdda
davve#siida	davve#sijdda
davvi#siida	davve#sijdda
dálve#siida	dálvve#sijdda
sis#eatnan#siida	sis#iednan#sijdda
áldo#siida	álldo#sijdda
eallo#siida	iello#sijdda
luovas#siida	luovas#sijdda
tiida	tijdda
ruoida	ruojdda
skáida	skájdda
luođđa	luodda
biila#luodda	bijla#luodda
