sálvi^a	sálvve^a
gaiba	gajbba
liiba	lijbba
siiba	sijbba
snuiba	snujbba
galba	galbba
silba	silbba
vilba	vilbba
duolba	duolbba
rimba	rimbba
gámba	gámbba
jámba	jámbba
virba	virbba
árba	árbba
skárba	skárbba
guolbba	guolba
homofoba	håmufoba
konvearba	konvearba
doaba	dåba
ađa	ada
čađđa	tjadda
mađđa	madda
nađđa	nadda
loađđa	loadda
snoađđa	snoadda
vađđa	vadda
šieđđa	sjiedda
šliedda	sliedda
giđđa	gidda
apart^heida	apárt^hejdda
nieida	niejdda
sneaida	sniejdda
diida	dijdda
hiida	hijdda
siida	sijdda
tiida	tijdda
ruoida	ruojdda
skáida	skájdda
luođđa	luodda
muođđa	muodda
darda	dardda
oarda	oardda
čearda	tjierdda
vuorda	vuordda
fárda	fárdda
gárda	gárdda
járda	járdda
duđđa	dudda
guđđa	gudda
šuđđa	sjudda
hoavda	hoavdda
ravda	ravdda
savda	savdda
guovda	guovdda
ruovda	ruovdda
vuovda	vuovdda
buvda	buvdda
ruvda	ruvdda
bruvda	bruvdda
dávda	dávdda
hávda	hávdda
lávda	lávdda
flávda	flávdda
rávda	rávdda
skáđđa	skádda
spáđđa	spádda
ráđđa	rádda
gráđđa	grádda
dieđa	dieda
sámojeda	sámujeda
logopeda	lågupeda
mopeda	måpeda
hybrida	hybreda
smaragda	smarágda
iđa	ida
pyramida	pyrámida
snaidda	snajda
pyramiida	pyrámijda
hybriida	hybrijda
oksiida	åksijda
di^oksiida	di^åksijda
indiviida	inddevijda
buoidda	buojda
dáidda	dájda
váidda	vájda
sex-váidda	sex-vájda
gealdda	gielda
gieldda	gielda
galda	gallda
hoalda	hoallda
gielda	giellda
bilda	billda
čuolda	tjuollda
muolda	muollda
ulda	ullda
bálda	bállda
divideanda	divedeanda
bindda	binda
propagánda	pråpågánda
radikánda	radekánda
diskriminánda	diskreminánda
veranda	veránda
ruođa	ruoda
boardda	boarda
goardda	goarda
moardda	moarda
geardda	gierda
sirdda	sirda
vuordda	vuorda
durdda	durda
jurdda	jurda
rekorda	rekurda
standárda	standdárda
várdda	várda
metoda	metuda
gavdda	gavda
skavdda	skavda
čoavdda	tjoavda
loavdda	loavda
deavdda	dievda
bivdda	bivda
duovdda	duovda
duvdda	duvda
hávdda	hávda
šuhkoláda	sjuhkuláda
šohkoláda	sjåhkuláda
šukkoláda	sjukkuláda
šukuláda	sjukuláda
marináda	marenáda
karbonáda	karbbunáda
master^gráda	masster^gráda
ambassáda	ambbassáda
boađa	båda
nomáda	nåmåda
trofea	tråfea
komitea	kåmetea
disko^grafa	dissko^grafa
etno^grafa	edno^grafa
šeaffa	sjieffa
šeriffa	sjereffa
táriffa	táreffa
gáifa	gájffa
alfa	alffa
šearfa	sjierffa
skárfa	skárffa
širáffa	sjiráffa
antroposofa	antruposofa
filosofa	filusofa
allomorfa	allumorfa
te^osofa	te^åsufa
kollega	kållega
deagga	diegga
heagga	hiegga
leagga	liegga
šleagga	sliegga
treagga	triegga
ceagga	tsiegga
taiga	tajgga
teaiga	tiejgga
veaiga	viejgga
siiga	sijgga
jalga	jalgga
oalga	oalgga
boalga	boalgga
ealga	ielgga
fealga	fielgga
skielga	skielgga
mielga	mielgga
gilga	gilgga
guolga	guolgga
snuolga	snuolgga
dálga	dálgga
gálga	gálgga
sálga	sálgga
tálga	tálgga
válga	válgga
cuogga	tsuogga
garga	gargga
goarga	goargga
toarga	toargga
dearga	diergga
fearga	fiergga
jearga	jiergga
čearga	tjiergga
šleađga	sliergga
sieđga	siergga
buođga	buorgga
duorga	duorgga
guorga	guorgga
árga	árgga
áđga	árgga
gárga	gárgga
njárga	njárgga
sáđga	sárgga
cugga	tsugga
leavga	lievgga
divga	divgga
čivga	tjivgga
čuovga	tjuovgga
hávga	hávgga
rávga	rávgga
roaŋga	roaŋgga
po^eŋga	po^eŋgga
po^eaŋga	po^ieŋgga
geaŋga	gieŋgga
laigga	lajga
áigga	ájga
vuolgga	vuolga
álgga	álga
válgga	válga
paviljonga	paveljonga
pedagoga	pedágoga
njeađgga	njierga
čeargga	tjierga
šleađgga	slierga
sárgga	sárga
sentrifuga	sentrefuga
joavgga	joavga
kardaŋga	karddaŋga
kavriŋga	kavrreŋga
gávriŋga	gávrreŋga
šárgoŋga	sjárgguŋga
balkoŋga	balkkuŋga
balloŋga	balluŋga
betoŋga	betuŋga
varjága	varjjága
arkipelága	arkkepelága
šlága	slága
meaddja	mieddja
máđidja	mádedja
deadja	diedja
teadja	tiedja
prog.šládja	pråg.sjládja
šládja	sládja
veaja	vieja
skuolja	skuoljja
gálja	gáljja
fearja	fierjja
šuorja	sjuorjja
árja	árjja
gárja	gárjja
gavja	gavjja
geavja	gievjja
jievja	jievjja
givja	givjja
rivja	rivjja
uvja	uvjja
suvja	suvjja
káija	kájja
spráija	sprájja
gerilja	gerelja
šállja	sjállja
skuotnja	skuodnja
suotnja	suodnja
skátnja	skádnja
spátnja	spádnja
sátnja	sádnja
šlienja	slienja
gavdnja	gavnnja
njoavdnja	njoavnnja
njivdnja	njivnnja
kampánnja	kamppánnja
njivnnja	njivnja
kampánja	kamppánja
kastánja	kasstánja
doarjja	doarja
vikša	viksja
bákša	báksja
šákša	sjáksja
vinša	vinsja
lunša	lunsja
plánša	plánsja
hoašša	hoassja
redišša	redessja
affišša	affessja
eašša	iessja
deašša	diessja
rišša	rissja
ruošša	ruossja
márša	márssja
hušša	hussja
tušša	tussja
gášša	gássja
hášša	hássja
rášša	rássja
reportáša	repurtásja
sabotáša	sabutásja
ruožža	ruodtja
gužža	gudtja
bieža	bietja
skoahča	skoahtja
roahča	roahtja
spahča	spahtja
rahča	rahtja
giehča	giehtja
čiehča	tjiehtja
gihča	gihtja
spihča	spihtja
buohča	buohtja
ruohča	ruohtja
luhča	luhtja
stuhča	stuhtja
čakča	tjaktja
rikča	riktja
njukča	njuktja
čukča	tjuktja
smealčča	smieltja
šnjilža	sjnjilltja
buolža	buolltja
svihčča	svihttja
ráhčča	ráhttja
balča	balttja
šnjilča	sjnjilttja
čuočča	tjuottja
beavža	bievttja
guovža	guovttja
