                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
guhkkit	guhkket
accasit	attsaset
ađđamahttá	addamahttá
agibeaivvesge	agebeajvvesge
agibeaivvisge	agebeajvvisge
agibeaivái	agebeajváj
agibeaivvi	agebeajvve
agálaččat	agálattjat
ahkásii	ahkásij
aiddo	ajdo
aiddobeliid	ajdubelijd
aiddobáliid	ajdubálijd
aiddonassii	ajdunassij
aiddostassii	ajdustassij
aittoládje	ajtuládje
aittobáliid	ajtubálijd
aittonassii	ajtunassij
aivvefal	ajvefal
aivvestassii	ajvestassij
aivvo	ajvo
ok	åk
aktiivvalaččat	aktijvvalattjat
albmaáimmus	almmaájmus
albmaáimmus	almmaájmus
alddage	aldage
alibuččas	alebuttjas
alibuidda	alebujdda
alibus	alebus
alibužžii	alebudtjij
alimahtes	alemahtes
alitsidjii	aletsidjij
allagassii	allagassij
allagit	allaget
allelačča	allelattja
allelaččat	allelattjat
allelažžii	alleladtjij
allelebbui	allelebbuj
allelii	allelij
alleliidda	allelijdda
allelis	alleles
allil	allel
allin	allen
allugit	alluget
almmaide	almajde
almmatge	almatge
almmake	almake
almmotge	almutge
almmustaga	almustaga
almmá	almá
altteson	alteson
aŋaldagas	aŋáldagas
aŋaldatbajis	aŋáldatbajes
aŋkke	aŋke
arvat	arvvat
arvvoóit	arvoójt
asehisgerddiid	asehisgerddijd
askálagaid	asskálagajd
assájit	assájet
assálagaid	assálagajd
asu	aso
bárralagaid	bárralagajd
atti	atte
bađalassii	badálassij
badjebadjelii	badjebadjelij
badjebadjálagaid	badjebadjálagajd
badjelmeari	badjelmeare
badjelabbui	badjelabbuj
badjelačča	badjelattja
badjelaččas	badjelattjas
badjelažžii	badjeladtjij
badjelebbui	badjelebbuj
badjelii	badjelij
badjeliidda	badjelijdda
badjelis	badjeles
badjelit	badjelet
badjelmearálaččat	badjelmearálattjat
badjeloaivve	badjeloajvve
badjil	badjel
badjin	badjen
badjugassii	badjugassij
badjálagaid	badjálagajd
baholagaid	bahulagajd
bahuid	bahujd
bahuin	bahujn
baháláhkai	baháláhkaj
baica	bajttsa
baicca	bajtsa
baicce	bajtse
baifáhkka	bajffáhkka
baikana	bajkkana
baikanaga	bajkkanaga
bajil	bajel
bajiloaivvi	bajeloajvve
bajibučča	bajebuttja
bajibuččas	bajebuttjas
bajibuin	bajebujn
bajibus	bajebus
bajibužžii	bajebudtjij
bajábeallai	bajábeallaj
bajágeahčai	bajágeahtjaj
bajágeahčen	bajágeahtjen
bajágeaže	bajágeatje
bajásguvlui	bajásguvluj
bajásjulggiid	bajásjulggijd
baljo	baljjo
bastanta	basstanta
bastánta	basstánta
beaitta	biejta
beaiveguovdil	biejvveguovdel
beaivemáhce	biejvvemáhtse
beaivet	biejvvet
beaivváhala	bæjváhala
beaivválaččat	bæjválattjat
bealatkeahttá	bielatkeahttá
beald	bield
beallalaga	biellalaga
beallalagaid	biellalagajd
bealledagus	bielledagus
bealledahkui	bielledahkuj
beallegealdagis	biellegealdages
beallehaddái	biellehaddáj
bealleheakkas	bielleheakkas
bealleheggii	bielleheggij
beallejámas	biellejámas
beallenuvttá	biellenuvttá
beallešaddui	bielletjadduj
beallešattus	bielletjattus
beallestággui	biellestágguj
beallestákkus	biellestákkus
beallevearta	biellevearta
bealljeskaddariid	bielljeskaddarijd
beallálaga	bællálaga
beallálagaid	bællálagajd
bealát	bælát
beanta	bientta
beare	biere
bearehaga	bierehaga
bearrái	bærráj
beatnagahttá	biednagahttá
beavddibui	bievdebuj
beavddibuidda	bievdebujdda
beavddibus	bievdebus
