                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>	cs
dađe	dade	cs
dađi	dade	cs
dan% botta% go	dan% botta% go	cs
daningo	danengo	cs
danin% go	danen% go	cs
danne% go	danne% go	cs
das% go	das% go	cs
dasságo	dasságo	cs
dugo	dugo	cs
duššego	dussjego	cs
dušše% go	dussje% go	cs
earágo	ærágo	cs
earetgo	ieretgo	cs
earretgo	ierretgo	cs
ehte	ehte	cs
geardde	gierde	cs
gearddi	gierde	cs
jes	jes	cs
jis	jis	cs
joas	joas	cs
josba	jåsbå	cs
juos	juos	cs
juosgo	juosgo	cs
juos% go	juos% go	cs
mađe	made	cs
mađi	made	cs
maŋŋágo	maŋŋágo	cs
maŋŋelgo	maŋŋelgo	cs
maŋŋilgo	maŋŋelgo	cs
mo	mo	cs
mov	måv	cs
movt	måvt	cs
nu% ahte	nu% ahte	cs
nu% guhkásgo	nu% guhkásgo	cs
nuvt% ahte	nuvt% ahte	cs
ovdalgo	åvddålgo	cs
ovdal% go	åvddål% go	cs
plus	plus	cs
seammaládjego	siemmaládjego	cs
seammaláhkaigo	siemmaláhkajgo	cs
seammás% go	sæmmás% go	cs
sehke	sehke	cs
vái	váj	cs
váikke	vájke	cs
vaikkeba	vajkeba	cs
váikko	vájko	cs
vaikkoba	vajkuba	cs
vuoikke	vuojke	cs
