                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>	a
a^spektuála	a^spektoála	a
abmejeaddji	abbmejeaddje	a
absoluhtalaš	absuluhtalasj	a
absoluhtta	absuluhtta	a
abstrákta	abstrákta	a
absurda	absurda	a
accagas	attsagas	a
addevaš	addevasj	a
adjektiivvalágan	adjektijvvalágan	a
administratiiva	admenistratijva	a
adversatiiva	adversatijva	a
affektiiva	affektijva	a
ag^gressiiva	ag^gressijva	a
agi#beai#buorre	age#biej#buorre	a
agi#beai#buorri	age#biej#buorre	a
agiheapme	ageheapme	a
ahkkái	ahkkáj	a
ahppar	ahppar	a
aitosaš	ajttusasj	a
akademalaš	akádemalasj	a
akademihkalaš	akádemihkalasj	a
akkusatiiva#hápmásaš	akkusatijva#hábmásasj	a
akromáhtalaš	akrumáhtalasj	a
aktalaš	aktalasj	a
aktasaš	aktasasj	a
aktilaš	aktelasj	a
akusttalaš	akustalasj	a
akváhtalaš	akváhtalasj	a
alfabehtalaš	alffabehtalasj	a
alfanumeralaš	alffanumeralasj	a
alit	alet	a
alit#ruoksat	alet#ruoksat	a
alit#vielgat	alet#vielggat	a
alitlágáš	aletlágásj	a
alla#dássásaš	alla#dássásasj	a
alla#áiggálaš	alla#ájgálasj	a
alla#árvosaš	alla#árvvusasj	a
allalágan	allalágan	a
allegoralaš	allegoralasj	a
allegoriijalaš	allegorijjalasj	a
allegorálaš	allegorálasj	a
alluvialaš	alluvialasj	a
almennetlágan	almennetlágan	a
almennetlágán	almennetlágán	a
almmos#rievttálaš	almus#rievtálasj	a
almmus	almus	a
alolaš	alulasj	a
alpin	alppen	a
amas#giel	amás#giel	a
amorálalaš	amurálalasj	a
analogalaš	análogalasj	a
analogiijalaš	análogijjalasj	a
analyhtalaš	anályhtalasj	a
anatomalaš	anátomalasj	a
anemalaš	anemalasj	a
anemiijalaš	anemijjalasj	a
anihahtti	anehahtte	a
animálalaš	anemálalasj	a
anonyma	anunyma	a
anti#rasistalaš	antte#rasestalasj	a
anti#rasisttalaš	antte#rasestalasj	a
anti#sosiála	antte#såsiála	a
antihkalaš	anttehkalasj	a
antisipatiiva	anttesipatijva	a
antropologalaš	antrupologalasj	a
apostovllalaš	apustovllalasj	a
areála	areála	a
arkeologalaš	arkkeologalasj	a
arkeologálaš	arkkeologálasj	a
arktihkalaš	arktehkalasj	a
arktálaš	arktálasj	a
artikulatoralaš	arttekulatoralasj	a
asehaš	asehasj	a
aseheapme	aseheapme	a
asfáltái	asfáltáj	a
asihaš	asehasj	a
asiheapme	aseheapme	a
askehtalaš	asskehtalasj	a
assosaš	assusasj	a
assái	assáj	a
astmáhtalaš	astmáhtalasj	a
asyndehtalaš	asyndehtalasj	a
atelihkalaš	atelihkalasj	a
atnemeahttun	adnemeahttun	a
atnimeahttun	adnemeahttun	a
atoma#gevolaš	atuma#gevulasj	a
audi^o#visuála	aude^o#visoála	a
auditiiva	audetijva	a
auditiivvalaš	audetijvvalasj	a
augs^burgalaš	augs^burggalasj	a
auteanttalaš	auteanttalasj	a
autenttalaš	autenttalasj	a
auto#semánttalaš	auto#semánttalasj	a
automahtalaš	autumahtalasj	a
automatiiva	autumatijva	a
automáhtalaš	autumáhtalasj	a
autonomalaš	autunomalasj	a
autoratiiva	auturatijva	a
autoritatiiva	auturitatijva	a
ađđamahtes	addamahtes	a
ađđái	addáj	a
badjel#beassameahttun	badjel#biessameahttun	a
badjel#geahčahahtti	badjel#giehtjahahtte	a
badjel#jagáš	badjel#jagásj	a
badjel#lunddolaš	badjel#lundulasj	a
badjel#mearálaš	badjel#mærálasj	a
badjelii#luohtehahtti	badjelij#luohtehahtte	a
badjil#beassameahttun	badjel#biessameahttun	a
badjil#geahčahahtti	badjel#giehtjahahtte	a
badjil#hearki	badjel#hierkke	a
badjil#mielat	badjel#mielat	a
badjilii#luohtihahtti	badjelij#luohtehahtte	a
badjálas	badjálas	a
bahkat	bahkat	a
bahča	bahtja	a
bajilduslaš	bajelduslasj	a
bajit	bajet	a
bajit#dási	bajet#dáse	a
bajás#ráhkadeaddji	bajás#ráhkadeaddje	a
bajáš	bajásj	a
bakkas	bakkas	a
balahahtti	baláhahtte	a
balddehahtti	baldehahtte	a
balddihahtti	baldehahtte	a
balsái	balssáj	a
baltalaš	balltalasj	a
balvái	balvváj	a
barbáralaš	barbbáralasj	a
barggukeahtes	bargukeahtes	a
bargo#fápmo#politihkalaš	barggo#fábmo#påletihkalasj	a
basakeat	basákeat	a
basiheapme	baseheapme	a
bastteheapme	basteheapme	a
basttiheapme	basteheapme	a
basttoheapme	bastuheapme	a
bažihahtti	batjehahtte	a
beahttimeahttun	biehttemeahttun	a
beailasaš	biejlasasj	a
beaive#jaŋas	biejvve#jaŋás	a
beaivvi#sealvi	biejve#sielvve	a
beaktilmeahttun	biektelmeahttun	a
bealjiheapme	bieljjeheapme	a
beallalas	biellalas	a
bealle#virggálaš	bielle#virgálasj	a
bealle#vuddjii	bielle#vuddjij	a
bealle#álás	bielle#álás	a
bealle#čujolaš	bielle#tjujulasj	a
bealle#čuoddjil	bielle#tjuoddjel	a
bealleatno	bielleatno	a
bealleheat	bielleheat	a
bealátkeahtes	bælátkeahtes	a
beanttis	bientes	a
bearas	bieras	a
bearraš#guovdasaš	bierrasj#guovddasasj	a
beasakeat	biesakeat	a
beasseheapme	biesseheapme	a
beassiheapme	biesseheapme	a
beatnagahtes	biednagahtes	a
beatnatlágán	biednatlágán	a
bellolas	bellulas	a
benjaminlaš	benjáminlasj	a
beroštahtti	berusjtahtte	a
bestiálalaš	besstiálalasj	a
bi^o^gráfalaš	bi^o^gráfálasj	a
bi^ologalaš	bi^ålugalasj	a
bi^ologálaš	bi^ålugálasj	a
biehtalkeahtes	biehtalkeahtes	a
biehčamahtes	biehtjamahtes	a
biekkus	biekkus	a
biellui	bielluj	a
bierggo#šlái-	biergo#sláj-	a
bievllus	bievlus	a
bieđggus	biergus	a
bieđđu	bieddo	a
bihkaheapme	bihkaheapme	a
bihkkái	bihkkáj	a
biktil	biktel	a
bikŋaleaddjái	bigŋaleaddjáj	a
bilabiála	bilábiála	a
bilaterála	biláterála	a
binddeheapme	bindeheapme	a
binddiheapme	bindeheapme	a
binddoheapme	binduheapme	a
bindil	binddel	a
binára	binára	a
birgehahtti	birggehahtte	a
birra#jagáš	birra#jagásj	a
birra#jahkásaš	birra#jahkásasj	a
birzzas	birtsas	a
birzzehas	birtsehas	a
bisovaš	bisuvasj	a
bissomeahttun	bissumeahttun	a
bissovaš	bissuvasj	a
bistevaš	bisstevasj	a
bistil	bisstel	a
bistteheapme	bisteheapme	a
bisttiheapme	bisteheapme	a
bisttoheapme	bistuheapme	a
bisttuheapme	bistuheapme	a
bivahahtti	biváhahtte	a
bivddehahtti	bivdehahtte	a
bivddihahtti	bivdehahtte	a
bivzzehas	bivtsehas	a
boagustahtti	boagustahtte	a
boahkas	boahkas	a
boahkis	boahkes	a
boahtte#áigásaš	boahtte#ájggásasj	a
boahttevaš	boahttevasj	a
boaitto#beal	boajto#biel	a
boalddehahtti	boaldehahtte	a
boalddihahtti	boaldehahtte	a
boaldevaš	boalldevasj	a
boares#mállesaš	boares#mállesasj	a
boares#áigásaš	boares#ájggásasj	a
boareslágan	boareslágan	a
boargil	boarggel	a
boastto	boasto	a
boastto#oinnolaš	boasto#åjnulasj	a
boasttu	boasto	a
boatkanmeahttun	boatkanmeahttun	a
boatkatmeahttun	boatkatmeahttun	a
boatkkaheapme	boatkkaheapme	a
boatkkakeahtes	boatkkakeahtes	a
boađuskeahtes	boaduskeahtes	a
boaššumus	boassjumus	a
boddosaš	båddusasj	a
bohccilágan	båhttselágan	a
bohccilágán	båhttselágán	a
bois#botneheapme	båjs#bådneheapme	a
bois#botniheapme	båjs#bådneheapme	a
bollui	bålluj	a
bolttokeat	båltukeat	a
bonju	bånjo	a
borahahtti	båråhahtte	a
boranas	bårånas	a
boreála	båreála	a
bostta	båstå	a
botneheapme	bådneheapme	a
botniheapme	bådneheapme	a
bovdnái	båvnnåj	a
bođđehahtti	båddehahtte	a
brihtalaš	brihtalasj	a
buddásaš	buddásasj	a
bugo	bugo	a
buhtes#oahpalaš	buhtes#oahpalasj	a
buhtismeahttun	buhtesmeahttun	a
buiccas	bujtsas	a
buiga	bujgga	a
buleš	bulesj	a
bullji#čalmmat	bullje#tjalmat	a
buohkanas	buohkanas	a
buohtalas	buohtalas	a
buoiddiheapme	buojdeheapme	a
buolaheapme	buolaheapme	a
buolaš	buolasj	a
buolaš#jaŋas	buolasj#jaŋás	a
buoleheapme	buoleheapme	a
buoliheapme	buoleheapme	a
buollevaš	buollevasj	a
buoloheapme	buoluheapme	a
buolvvat	buolvat	a
buolžái	buolltjáj	a
buore	buore	a
buorggos	buorgus	a
buoritmeahttun	buoretmeahttun	a
buorre#dohkálaš	buorre#dåhkålasj	a
buot#beallásaš	buot#bællásasj	a
buot#diehtti	buot#diehtte	a
buot#guoskevaš	buot#guosskevasj	a
buotlágan	buotlágan	a
buotlágán	buotlágán	a
buotlágáš	buotlágásj	a
buškkas	busjkas	a
byro^kráhtalaš	byro^kráhtalasj	a
bábirlágan	báberlágan	a
bádde#keramihkalaš	bádde#kerámihkalasj	a
bádde#kerámalaš	bádde#kerámalasj	a
báddi#bahá	bádde#bahá	a
báddi#lodji	bádde#lådje	a
bággolonistanlágan	bággulonistanlágan	a
bággolonistanlágán	bággulonistanlágán	a
báhpárlágan	báhpárlágan	a
báidnemeahttun	bájnnemeahttun	a
báidnimeahttun	bájnnemeahttun	a
báikkalaš	bájkalasj	a
báikkolaš	bájkulasj	a
báitevaš	bájttevasj	a
bákte#fágalaš	bákte#fágálasj	a
báktelágan	báktelágan	a
báldalas	bálldalas	a
bálddalas	báldalas	a
bálgges#projektionála	bálges#pråjektionála	a
bálgáheapme	bálggáheapme	a
báljis	báljjes	a
bállas	bállas	a
bállir	báller	a
bániheapme	báneheapme	a
báraheapme	báráheapme	a
báralaš	bárálasj	a
bárbáralaš	bárbbáralasj	a
bárra#stávval	bárra#stávval	a
bárulágan	bárulágan	a
báráhis#stávval	báráhis#stávval	a
bás	bás	a
bávččasteaddji	bávtjasteaddje	a
bázahaddan	bátsáhaddan	a
bázahallan	bátsáhallan	a
bážehahtti	bátjehahtte	a
bážekeat	bátjekeat	a
bážihahtti	bátjehahtte	a
